SUB,WORD_ORDER,ITEM,ORDER_TOP,SIZE_A_TOP,SIZE_B_TOP,ORDER_CENTER,SIZE_A_CENTER,SIZE_B_CENTER,ORDER_BOTTOM,SIZE_A_BOTTOM,SIZE_B_BOTTOM,CHOICE,CHOICE_SIZE
1513016873,0,35,2,60,120,1,60,120,2,120,60,BOTTOM,SMALLER
1513016873,0,5,1,120,60,1,120,120,2,120,60,CENTER,EQUAL
1513016873,0,10,1,120,60,2,120,60,2,120,120,TOP,LARGER
1513016873,0,25,1,120,120,2,60,120,2,120,60,TOP,EQUAL
1513016873,0,20,1,120,60,2,120,60,2,120,120,BOTTOM,EQUAL
1513016873,0,15,2,120,60,2,120,120,1,120,60,CENTER,EQUAL
1513016873,0,30,2,60,120,2,120,60,1,60,120,TOP,LARGER
1513017037,0,9,2,120,120,1,120,60,1,60,120,TOP,EQUAL
1513017037,0,14,2,60,120,1,120,120,1,60,120,TOP,LARGER
1513017037,0,24,1,60,120,2,60,120,1,120,60,BOTTOM,LARGER
1513017037,0,34,1,120,120,1,120,60,2,60,120,CENTER,LARGER
1513017037,0,4,1,120,120,2,60,120,2,120,120,TOP,EQUAL
1513017037,0,19,1,120,120,1,60,120,2,60,120,BOTTOM,LARGER
1513017037,0,29,1,60,120,2,120,120,2,60,120,CENTER,EQUAL
1513017208,0,18,1,120,120,2,60,120,2,120,120,BOTTOM,EQUAL
1513017208,0,28,1,60,120,2,60,120,2,120,60,CENTER,LARGER
1513017208,0,3,1,60,120,2,60,120,1,120,120,BOTTOM,EQUAL
1513017208,0,8,1,60,120,2,120,60,2,60,120,CENTER,SMALLER
1513017208,0,33,1,120,120,1,60,120,2,120,120,BOTTOM,EQUAL
1513017208,0,13,1,120,60,2,120,120,2,60,120,CENTER,EQUAL
1513017208,0,23,1,60,120,2,120,120,1,120,120,CENTER,EQUAL
1513017356,0,17,1,120,60,2,120,60,2,120,120,TOP,LARGER
1513017356,0,7,1,120,60,1,120,120,1,60,120,CENTER,EQUAL
1513017356,0,32,1,120,120,2,120,60,1,120,60,BOTTOM,LARGER
1513017356,0,12,2,120,60,1,60,120,1,120,120,CENTER,SMALLER
1513017356,0,2,2,120,60,2,60,120,2,120,120,CENTER,LARGER
1513017356,0,27,1,60,120,2,60,120,1,120,60,CENTER,LARGER
1513017356,0,22,2,120,120,1,120,60,1,60,120,BOTTOM,SMALLER
1513017932,0,26,1,120,120,2,120,120,1,60,120,CENTER,EQUAL
1513017932,0,16,2,120,120,1,60,120,2,60,120,CENTER,SMALLER
1513017932,0,11,2,120,60,1,120,120,2,60,120,CENTER,EQUAL
1513017932,0,36,2,60,120,1,60,120,1,120,120,TOP,LARGER
1513017932,0,6,2,120,60,1,60,120,2,60,120,TOP,SMALLER
1513017932,0,21,1,60,120,1,120,120,2,60,120,CENTER,EQUAL
1513017932,0,31,2,120,60,2,120,120,1,120,120,CENTER,EQUAL
1513017932,0,1,1,120,120,2,120,60,2,60,120,CENTER,SMALLER
1513018972,0,7,2,60,120,1,120,120,2,120,60,CENTER,EQUAL
1513018972,0,27,1,120,60,2,60,120,2,120,60,BOTTOM,SMALLER
1513018972,0,17,2,60,120,2,120,120,1,120,60,CENTER,EQUAL
1513018972,0,32,2,120,60,2,120,120,2,60,120,CENTER,EQUAL
1513018972,0,2,2,120,60,2,120,120,2,60,120,CENTER,EQUAL
1513018972,0,12,2,120,60,1,60,120,2,120,120,BOTTOM,EQUAL
1513018972,0,22,1,120,120,1,60,120,2,60,120,BOTTOM,LARGER
1513019358,0,1,1,120,120,2,120,120,2,120,60,TOP,EQUAL
1513019358,0,11,1,120,120,2,120,60,1,120,60,TOP,EQUAL
1513019358,0,36,2,120,60,2,120,120,1,120,60,CENTER,EQUAL
1513019358,0,26,1,60,120,2,120,60,1,120,120,TOP,SMALLER
1513019358,0,16,2,60,120,2,120,60,2,120,120,CENTER,SMALLER
1513019358,0,31,2,60,120,2,120,60,1,120,120,TOP,LARGER
1513019358,0,6,2,60,120,2,120,120,1,60,120,CENTER,EQUAL
1513019358,0,21,2,120,60,1,120,60,1,120,120,BOTTOM,EQUAL
1513019785,0,14,2,60,120,1,60,120,1,120,120,BOTTOM,EQUAL
1513019785,0,9,1,60,120,2,120,60,1,120,120,BOTTOM,EQUAL
1513019785,0,34,2,120,60,1,60,120,1,120,60,TOP,SMALLER
1513019785,0,19,2,60,120,1,120,120,2,120,120,CENTER,EQUAL
1513019785,0,4,2,120,60,1,120,60,1,120,120,TOP,SMALLER
1513019785,0,24,2,120,120,2,60,120,1,60,120,TOP,EQUAL
1513019785,0,29,1,120,120,2,60,120,1,120,60,TOP,EQUAL
1513020287,0,35,1,60,120,2,120,120,1,120,120,BOTTOM,EQUAL
1513020287,0,15,2,120,120,1,60,120,1,120,120,BOTTOM,EQUAL
1513020287,0,10,2,120,120,1,60,120,1,120,120,TOP,EQUAL
1513020287,0,20,2,60,120,1,120,60,1,120,120,BOTTOM,EQUAL
1513020287,0,5,1,120,120,1,120,60,2,60,120,TOP,EQUAL
1513020287,0,25,2,120,120,1,120,60,2,120,60,TOP,EQUAL
1513020287,0,30,1,60,120,1,120,60,1,120,120,TOP,SMALLER
1513021682,0,5,1,120,60,1,60,120,2,120,120,BOTTOM,EQUAL
1513021682,0,20,1,60,120,2,120,120,2,60,120,BOTTOM,LARGER
1513021682,0,25,1,60,120,2,120,120,2,60,120,CENTER,EQUAL
1513021682,0,10,1,120,120,1,60,120,1,120,60,TOP,EQUAL
1513021682,0,15,1,60,120,1,120,120,2,120,120,BOTTOM,EQUAL
1513021682,0,35,2,60,120,1,120,120,2,120,60,TOP,LARGER
1513021682,0,30,2,120,120,1,120,120,2,120,60,CENTER,EQUAL
1513021702,0,26,2,120,60,1,60,120,2,60,120,BOTTOM,LARGER
1513021702,0,36,1,120,60,2,120,120,1,120,120,CENTER,EQUAL
1513021702,0,1,2,60,120,2,120,120,1,120,120,BOTTOM,EQUAL
1513021702,0,6,1,60,120,1,120,60,2,120,60,BOTTOM,SMALLER
1513021702,0,16,1,120,120,2,60,120,1,60,120,TOP,EQUAL
1513021702,0,21,1,120,60,2,120,60,1,120,120,BOTTOM,EQUAL
1513021702,0,31,1,120,120,2,120,120,2,60,120,TOP,EQUAL
1513021702,0,11,1,120,120,1,120,60,1,60,120,TOP,EQUAL
1513021703,0,14,1,120,60,1,60,120,2,120,60,TOP,LARGER
1513021703,0,9,2,60,120,2,120,60,2,120,120,BOTTOM,EQUAL
1513021703,0,4,1,120,120,1,120,60,1,60,120,TOP,EQUAL
1513021703,0,34,2,120,60,2,60,120,1,120,120,BOTTOM,EQUAL
1513021703,0,29,2,60,120,2,120,60,2,120,120,BOTTOM,EQUAL
1513021703,0,19,1,60,120,1,120,60,2,120,120,BOTTOM,EQUAL
1513021703,0,24,1,120,60,2,60,120,1,120,120,BOTTOM,EQUAL
1513021877,0,13,1,60,120,2,120,120,2,120,60,CENTER,EQUAL
1513021877,0,28,2,120,120,1,60,120,2,60,120,CENTER,SMALLER
1513021877,0,3,1,60,120,1,120,120,1,120,60,CENTER,EQUAL
