SUB,WORD_ORDER,ITEM,ORDER_TOP,SIZE_A_TOP,SIZE_B_TOP,ORDER_CENTER,SIZE_A_CENTER,SIZE_B_CENTER,ORDER_BOTTOM,SIZE_A_BOTTOM,SIZE_B_BOTTOM,CHOICE
1513007007,1,17,2,120,60,2,120,120,1,60,120,BOTTOM
1513007007,2,21,1,60,120,1,120,60,2,120,60,BOTTOM
1513007007,2,31,2,60,120,2,120,120,1,120,120,CENTER
1513007007,2,8,1,60,120,2,120,120,2,60,120,CENTER
1513007007,2,36,2,60,120,1,120,60,2,120,60,TOP
1513007007,0,9,1,120,120,1,120,60,2,120,60,TOP
1513007007,1,35,2,120,60,1,60,120,1,120,60,BOTTOM
1513007007,2,28,1,60,120,2,120,60,1,120,120,CENTER
1513007007,1,2,2,120,120,1,120,60,1,60,120,CENTER
1513007007,2,23,2,60,120,1,60,120,2,120,120,TOP
1513007007,0,4,1,120,60,2,120,120,2,120,60,CENTER
1513007007,2,33,2,120,120,1,120,60,1,120,120,TOP
1513007007,2,6,1,120,60,2,120,60,2,60,120,CENTER
1513007007,2,1,1,120,120,2,120,60,2,60,120,BOTTOM
1513007007,1,25,1,60,120,1,120,60,2,120,60,CENTER
1513007007,2,16,2,120,120,1,120,120,2,60,120,TOP
1513007007,0,29,1,60,120,2,120,120,1,120,60,CENTER
1513007007,1,22,1,120,120,1,120,60,1,60,120,TOP
1513007007,1,15,2,120,60,2,120,120,1,60,120,BOTTOM
1513007007,1,32,2,60,120,1,120,120,2,120,120,CENTER
1513007007,0,19,1,120,60,1,120,120,2,60,120,TOP
1513007007,2,3,1,120,120,1,120,60,2,60,120,TOP
1513007007,2,11,2,120,120,1,120,60,1,60,120,TOP
1513009610,0,33,2,60,120,2,120,60,1,60,120,BOTTOM
1513009610,1,29,1,120,120,2,120,120,2,60,120,TOP
1513009610,2,25,1,120,60,2,120,60,1,60,120,CENTER
1513009610,1,6,2,60,120,2,120,60,2,120,120,CENTER
1513009610,2,10,2,120,60,2,60,120,2,120,120,BOTTOM
1513009610,2,17,2,120,120,1,120,60,2,120,60,TOP
1513009610,2,20,1,60,120,2,120,60,1,120,120,CENTER
1513009610,2,27,2,120,120,1,120,60,1,120,120,TOP
1513009610,1,31,1,120,60,1,120,120,2,120,120,CENTER
1513009610,2,32,1,60,120,2,120,60,2,120,120,BOTTOM
1513009610,1,36,1,120,60,1,120,120,2,120,120,CENTER
1513009610,0,18,1,120,120,2,60,120,2,120,120,BOTTOM
1513009610,0,8,1,120,120,2,60,120,1,60,120,TOP
1513009610,2,15,2,120,60,1,120,60,1,120,120,TOP
1513009610,2,35,1,120,120,2,60,120,1,120,60,CENTER
1513009610,1,19,2,120,120,1,120,120,1,120,60,CENTER
1513009610,2,12,1,120,120,1,120,60,2,120,60,BOTTOM
1513009610,1,4,1,60,120,1,120,60,2,60,120,CENTER
1513009610,2,7,2,60,120,1,120,60,1,120,120,TOP
1513009610,1,11,1,60,120,1,120,60,2,120,60,TOP
1513009610,1,14,1,120,60,1,120,120,1,60,120,CENTER
1513009610,0,3,1,60,120,2,120,120,2,60,120,TOP
1513009610,0,28,1,120,120,2,120,60,1,120,60,TOP
1513009610,2,22,2,120,60,2,120,120,2,60,120,CENTER
1513009610,1,26,2,60,120,2,120,120,2,120,60,TOP
1513009610,1,1,2,120,120,2,120,60,2,60,120,TOP
1513009610,1,21,1,120,60,2,120,60,2,120,120,TOP
1513009610,1,16,2,120,60,1,120,60,2,60,120,CENTER
1513009610,0,23,1,120,120,2,120,60,1,120,60,TOP
1513009610,0,13,1,120,60,2,120,120,1,120,120,CENTER
1513009610,1,9,1,120,60,2,120,120,2,120,60,TOP
1513009610,2,5,1,120,60,2,60,120,1,60,120,TOP
1513009610,1,34,1,120,120,1,60,120,1,120,60,BOTTOM
1513009610,2,30,2,60,120,1,120,60,1,60,120,TOP
1513009610,2,2,2,60,120,2,120,120,1,120,60,CENTER
1513009610,1,24,2,120,120,2,120,60,2,60,120,CENTER
1513009715,0,2,1,120,120,1,60,120,2,60,120,TOP
1513009715,2,11,1,60,120,2,120,120,1,120,60,CENTER
