CHOICE,ITEM,SUB,custom_id,equal_size,left_larger,left_smaller,mode_id
0,34,1516293656,4942,0,1,0,3
0,24,1516293656,4944,1,0,0,1
1,24,1516293656,4944,0,0,1,2
0,24,1516293656,4944,0,1,0,3
1,2,1516293656,4948,0,1,0,1
0,2,1516293656,4948,0,0,1,2
0,2,1516293656,4948,1,0,0,3
0,23,1516293656,4950,0,0,1,1
1,23,1516293656,4950,1,0,0,2
0,23,1516293656,4950,0,1,0,3
0,20,1516293656,4952,0,0,1,1
1,20,1516293656,4952,1,0,0,2
0,20,1516293656,4952,0,0,1,3
0,25,1516293656,4954,0,1,0,1
0,25,1516293656,4954,0,1,0,2
1,25,1516293656,4954,0,0,1,3
0,9,1516293656,4958,0,0,1,1
1,9,1516293656,4958,1,0,0,2
0,9,1516293656,4958,0,1,0,3
0,19,1516293656,4960,1,0,0,1
0,19,1516293656,4960,0,0,1,2
1,19,1516293656,4960,0,1,0,3
0,14,1516293656,4964,0,0,1,1
0,14,1516293656,4964,0,1,0,2
1,14,1516293656,4964,1,0,0,3
1,17,1516293656,4966,1,0,0,1
0,17,1516293656,4966,1,0,0,2
0,17,1516293656,4966,0,1,0,3
0,12,1516293656,4968,0,0,1,1
1,12,1516293656,4968,0,1,0,2
0,12,1516293656,4968,1,0,0,3
0,27,1516293656,4970,0,0,1,1
0,27,1516293656,4970,0,1,0,2
1,27,1516293656,4970,0,0,1,3
1,32,1516293656,4972,1,0,0,1
0,32,1516293656,4972,0,1,0,2
0,32,1516293656,4972,0,0,1,3
1,33,1516293656,4974,1,0,0,1
0,33,1516293656,4974,0,1,0,2
0,33,1516293656,4974,0,0,1,3
1,4,1516293656,4978,1,0,0,1
0,4,1516293656,4978,0,0,1,2
0,4,1516293656,4978,0,0,1,3
0,13,1516293656,4980,0,0,1,1
0,13,1516293656,4980,0,1,0,2
1,13,1516293656,4980,1,0,0,3
1,10,1516293656,4986,1,0,0,1
0,10,1516293656,4986,0,1,0,2
0,10,1516293656,4986,0,0,1,3
0,5,1516293656,4988,0,0,1,1
1,5,1516293656,4988,1,0,0,2
0,5,1516293656,4988,0,0,1,3
0,15,1516293656,4990,0,0,1,1
1,15,1516293656,4990,1,0,0,2
0,15,1516293656,4990,0,1,0,3
0,28,1516293656,4992,0,0,1,1
0,28,1516293656,4992,0,1,0,2
1,28,1516293656,4992,1,0,0,3
0,7,1516293656,4994,0,1,0,1
1,7,1516293656,4994,1,0,0,2
0,7,1516293656,4994,0,0,1,3
0,18,1516293656,4996,0,0,1,1
1,18,1516293656,4996,1,0,0,2
0,18,1516293656,4996,1,0,0,3
0,22,1516293656,4998,0,1,0,1
0,22,1516293656,4998,0,0,1,2
1,22,1516293656,4998,1,0,0,3
0,3,1516293656,5000,0,0,1,1
0,3,1516293656,5000,1,0,0,2
1,3,1516293656,5000,0,0,1,3
0,11,1516293685,5011,0,1,0,1
0,11,1516293685,5011,1,0,0,2
1,11,1516293685,5011,1,0,0,3
0,27,1516293685,5013,0,0,1,1
0,27,1516293685,5013,0,0,1,2
1,27,1516293685,5013,0,1,0,3
0,4,1516293685,5015,0,0,1,1
0,4,1516293685,5015,0,1,0,2
1,4,1516293685,5015,0,1,0,3
0,34,1516293685,5017,0,0,1,1
1,34,1516293685,5017,0,1,0,2
0,34,1516293685,5017,0,1,0,3
0,21,1516293685,5025,0,0,1,1
0,21,1516293685,5025,0,1,0,2
1,21,1516293685,5025,0,0,1,3
0,23,1516293685,5027,0,1,0,1
1,23,1516293685,5027,1,0,0,2
0,23,1516293685,5027,0,1,0,3
0,12,1516293685,5029,0,0,1,1
1,12,1516293685,5029,0,0,1,2
0,12,1516293685,5029,1,0,0,3
1,9,1516293685,5031,0,0,1,1
0,9,1516293685,5031,0,0,1,2
0,9,1516293685,5031,0,1,0,3
0,16,1516293685,5033,0,0,1,1
